Index,Time,SPE,Threshold,outlier_status,io_usage,network_usage,cpu_percent,ram_usage,Container
669,2019-11-28 18:42:12.419000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
670,2019-11-28 18:42:12.419000,2575.9572023256464,8921.909340156095,0,1016000000,38320,1.22,427819008.0,2eeb54d55f3b
671,2019-11-28 18:42:12.419000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
672,2019-11-28 18:42:12.419000,1773.302467541983,8921.909340156095,0,4064000,25040,0.0,910163968.0,01f13e58f338
673,2019-11-28 18:42:12.419000,393.94074640486116,8921.909340156095,0,4392000,25040,0.0,9079560863.744,6ffd41e1fbc1
674,2019-11-28 18:42:12.419000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
675,2019-11-28 18:42:12.419000,22784.58439152482,8921.909340156095,0,246400000,53120,1.85,231777239.04,bca9d260c15b
676,2019-11-28 18:42:12.917000,3400.7884927290056,8921.909340156095,0,80000000,24640,2.19,231777239.04,6a5af19b5b83
677,2019-11-28 18:42:12.917000,3973.049795593962,8921.909340156095,0,188000000,25520,0.01,371112017.92,5d2823fff256
678,2019-11-28 18:42:12.917000,1380.8017285258145,8921.909340156095,0,424000000,34160,0.01,251658240.0,2a92371640c3
679,2019-11-28 18:42:12.917000,134.9331356046352,8921.909340156095,0,4000000,25040,0.0,7069918822.4,1d1a77a500f9
680,2019-11-28 18:42:12.917000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
681,2019-11-28 18:42:12.917000,1624.9374750762927,8921.909340156095,0,0,25040,0.0,1257452339.2,abbf5599c150
682,2019-11-28 18:42:12.917000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
683,2019-11-28 18:42:12.918000,2575.9572023256464,8921.909340156095,0,1016000000,38320,1.22,427819008.0,2eeb54d55f3b
684,2019-11-28 18:42:12.918000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
685,2019-11-28 18:42:12.918000,1773.302467541983,8921.909340156095,0,4064000,25040,0.0,910163968.0,01f13e58f338
686,2019-11-28 18:42:12.918000,393.94074640486116,8921.909340156095,0,4392000,25040,0.0,9079560863.744,6ffd41e1fbc1
687,2019-11-28 18:42:12.918000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
688,2019-11-28 18:42:12.918000,22784.58439152482,8921.909340156095,0,246400000,53120,1.85,231777239.04,bca9d260c15b
689,2019-11-28 18:42:13.417000,3598.865617539453,8921.909340156095,0,96000000,24640,9.57,316669952.0,6a5af19b5b83
690,2019-11-28 18:42:13.417000,3973.049795593962,8921.909340156095,0,188000000,25520,0.01,371112017.92,5d2823fff256
691,2019-11-28 18:42:13.417000,1860.8002763435165,8921.909340156095,0,424000000,34640,0.04,251658240.0,2a92371640c3
692,2019-11-28 18:42:13.417000,134.9331356046352,8921.909340156095,0,4000000,25040,0.0,7069918822.4,1d1a77a500f9
