ktime,container,node,io_usage,time,pids,ram_limit,cpu_percent,io_limit,network_limit,network_usage,ram_usage,customer_id,application_id
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966512418,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966512418,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966512418,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966512418,26,73065983639.552,0.74,0,13680,33920,410454589.44,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966512418,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966512418,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,262400,1574966512418,1,11390253268.992,1.07,4048000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966512418,1,4999610368,0,0,0,24240,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,212000000,1574966512418,5,73065983639.552,1.16,0,16240,45760,115427246.08,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,43360000,1574966512917,5,73065983639.552,1.06,0,0,23280,111736258.56,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966512917,2,73065983639.552,0.01,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966512918,11,73065983639.552,0.08,589600,8960,31040,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966512918,1,11596411699.2,6.88,4168000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966512918,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966512918,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966512918,1,679980564.48,0,367200000,0,26800,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966512918,26,73065983639.552,1.03,0,13680,33920,413138944,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966512918,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966512918,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,262400,1574966512918,1,11390253268.992,1.07,4048000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966512918,1,4999610368,0,0,0,24240,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,212000000,1574966512918,3,73065983639.552,1.4,0,16240,45760,113078435.84,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,43680000,1574966513417,3,73065983639.552,1.77,0,0,23280,110058536.96,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966513417,2,73065983639.552,0.01,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966513417,11,73065983639.552,0.02,589600,8960,31600,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,2752000,1574966513417,1,11596411699.2,2.6,4168000000,0,23680,7069079961.6,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966513418,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966513418,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966513418,1,679980564.48,0,367200000,0,26800,485364858.88,Vatan,Sale001
